INDICATOR_CODE,INDICATOR_NAME,AGENCY,CATEGORY,LOW_LOWER,LOW_UPPER,MEDIUM_LOWER,MEDIUM_UPPER,HIGH_LOWER,HIGH_UPPER
BARANGAY,Barangay Name/Number,UNICEF,Others,,,,,,
BRGY_E_1_1,Total Male Population per barangay,UNICEF,Exposure,,,,,,
BRGY_E_1_2,Total Female Population per barangay,UNICEF,Exposure,,,,,,
BRGY_E_2_1,Total population (under 18-years-old) per barangay,UNICEF,Exposure,,,,,,
BRGY_E_2_2,Total population (0-6 months old) per barangay,UNICEF,Exposure,,,,,,
BRGY_E_2_3,Total population (0-12 months old) per barangay,UNICEF,Exposure,,,,,,
BRGY_E_2_4,Total population (under 5-years-old) per barangay,UNICEF,Exposure,,,,,,
BRGY_E_2_5,Total population (3-4 years old) per barangay,UNICEF,Exposure,,,,,,
BRGY_E_2_6,Total population (5-years-old) per barangay,UNICEF,Exposure,,,,,,
BRGY_E_2_7,Total population (6-11 years old) per barangay,UNICEF,Exposure,,,,,,
BRGY_E_2_8,Total population (12-17 years old) per barangay,UNICEF,Exposure,,,,,,
BRGY_E_3,Percentage of barangay population that are indigenous people,UNICEF,Exposure,,,,,,
BRGY_E_4_1,Structured Neighborhood Play (SNP),UNICEF,Exposure,,,,,,
BRGY_E_4_2,Day Care Center,UNICEF,Exposure,,,,,,
BRGY_E_4_3,Elementary School,UNICEF,Exposure,,,,,,
BRGY_E_4_4,High School,UNICEF,Exposure,,,,,,
BRGY_E_4_5,Tertiary/College/University,UNICEF,Exposure,,,,,,
BRGY_E_5,All infrastructure designated as an evacuation center,UNICEF,Exposure,,,,,,
BRGY_E_6_1,Rural Health Units,UNICEF,Exposure,,,,,,
BRGY_E_6_2,Barangay Health Station,UNICEF,Exposure,,,,,,
BRGY_E_6_3,Birthing Clinic,UNICEF,Exposure,,,,,,
BRGY_E_6_4,Public Hospital,UNICEF,Exposure,,,,,,
BRGY_E_6_5,Private Hospital,UNICEF,Exposure,,,,,,
BRGY_E_6_6,Private Clinic,UNICEF,Exposure,,,,,,
BRGY_E_7,Police Station or Precinct,UNICEF,Exposure,,,,,,
BRGY_E_8,"Airports, seaports, bus terminals",UNICEF,Exposure,,,,,,
BRGY_V_1,Measles immunisation coverage rate per barangay,UNICEF,Vulnerability,0.95,1,0.81,0.9499,0,0.8099
BRGY_V_2,Fully immunised child coverage rate,UNICEF,Vulnerability,0.95,1,0.81,0.9499,0,0.8099
BRGY_V_3,Combined prevalence of moderate and severe wasting in children 0-59 years old,UNICEF,Vulnerability,0,0.0999,0.1,0.15,0.1501,1
BRGY_V_4,"Percentage of households in the barangay with unimproved main source of water supple (dug well, unprotected spring, lakes, rivers, rain)",UNICEF,Vulnerability,0,0.18,0.1801,0.4999,0.5,1
BRGY_V_5,"Percentage of households in the barangay using unsanitary toilet facilities and practices (closed/open pit, open defacation)",UNICEF,Vulnerability,0,0.15,0.1501,0.5999,0.6,1
BRGY_V_6,Percentage of 3-4 years old who are not in school per barangay,UNICEF,Vulnerability,0,0.1999,0.2,0.58,0.5801,1
BRGY_V_7,Percentage of 5 years old not enrolled in kinder per barangay,UNICEF,Vulnerability,0,0.207,,,0.2071,1
BRGY_V_8,Percentage of 6-11 years old not enrolled in school per barangay,UNICEF,Vulnerability,0,0.055,,,0.05501,1
BRGY_V_9,Percentage of 12-17 years old not enrolled in school per barangay,UNICEF,Vulnerability,0,0.138,,,0.13801,1
BRGY_V_10,Dropout rate by secondary schools per barangay,UNICEF,Vulnerability,0,0.0782,,,0.078201,1
